Autoren	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Tilman Baumgärtel	107644,12	17940,69	403665,47	62792,41	53822,06	26911,03	62792,41	278080,66	107644,12	107644,12	62792,41	71762,75	26911,03
Tilmann Baumgaertel	140579,28	23429,88	527172,29	82004,58	70289,64	35144,82	82004,58	363163,14	140579,28	140579,28	82004,58	93719,52	35144,82
Tim Ackermann			9962257,99	4331081,74	4201118,49	2651753,71	6896843,38	37223456,74	19281750,05	22065562,58	12871578,17	14710375,05	5516390,65
Timo Lindemann								169455,75	2156778,82	2326440,93	1357090,54	1550960,62	581610,23
Tina Stommel											1559365,99	1782132,56	668299,71
Tissy Bruns, Eisenach				225867,27	225867,27	112933,63	263511,81	1166980,89	451734,54	451734,54	263511,81	301156,36	112933,63
Tk	3904802,02	650800,34	14643007,58	2277801,18	1952401,01	976200,51	2277801,18	10087405,22	3904802,02	3904802,02	2277801,18	2603201,35	976200,51
Tobias Timm					124959,57	124959,57	2021770,34	16815959,14	9528811,62	9528811,62	6281177,60	7797949,40	2924231,02
Tom Grünweg					431631,84	323723,88	755355,73	3799924,37	2659228,28	2659228,28	1551216,50	1772818,85	664807,07
Tom Holert	85836,91	14306,15	321888,41	50071,53	42918,45	21459,23	50071,53	221745,35	85836,91	85836,91	50071,53	57224,61	21459,23
Tornau	4745815,09	948212,66	21334784,89	3318744,32	2844637,99	1422318,99	3318744,32	14697296,26	5689275,97	5689275,97	3318744,32	3792850,65	1422318,99
Tp			250814,33	109731,27	94055,37	47027,69	109731,27	485952,77	188110,75	188110,75	109731,27	125407,17	47027,69
Tr					42749,37	128248,11	299245,60	1325230,51	512992,46	866763,86	524372,86	599283,26	224731,22
Tüllmann Carlheinz			322912,32	322912,32	276781,99	138391,00	322912,32	1430040,29	553563,98	553563,98	322912,32	369042,66	138391,00
Tvm			7776662,62	6212144,65	5324695,42	2662347,71	6212144,65	27510926,32	10649390,83	10649390,83	6212144,65	7099593,89	2662347,71
Twickel			5456346,61	2010232,96	1723056,83	861528,41	2010232,96	8902460,27	3446113,65	3446113,65	2010232,96	2297409,10	861528,41
Ug	131796,90	21966,15	494238,39	76881,53	65898,45	32949,23	76881,53	340475,33	131796,90	131796,90	76881,53	87864,60	32949,23
Uk,												63318,78	63318,78
Ulf Erdmann Ziegler	491350,97	81891,83	1842566,15	286621,40	245675,49	122837,74	286621,40	1269323,35	491350,97	491350,97	286621,40	327567,32	122837,74
Ullrich Fichtner			2030107,53	507526,88	435023,04	217511,52	507526,88	2247619,05	870046,08	870046,08	507526,88	580030,72	217511,52
Ulrich Clewing	379328,78	63221,46	1422482,93	221275,12	189664,39	94832,20	221275,12	979932,69	379328,78	379328,78	221275,12	252885,85	94832,20
Ulrich Gutmair			4866336,17	1174632,87	1006828,17	503414,09	1174632,87	5201945,56	2013656,35	2013656,35	1174632,87	1342437,56	503414,09
Ulrich Holbein								5860908,22	2930454,11	2930454,11	1709431,57	1953636,07	732613,53
Ulrich Seidler						689083,98	2411793,94	10680801,72	4134503,89	4134503,89	2411793,94	2756335,93	1033625,97
Ulrich Traub	399335,12	66555,85	1497506,70	232945,49	199667,56	99833,78	232945,49	1031615,73	399335,12	399335,12	232945,49	266223,41	99833,78
Ulrich Weinzierl			5216130,50	834096,34	714939,72	357469,86	834096,34	3693855,23	1429879,44	1429879,44	834096,34	953252,96	357469,86
Ulrike Fokken	61357,13	10226,19	230089,22	35791,66	30678,56	15339,28	35791,66	158505,91	61357,13	61357,13	35791,66	40904,75	15339,28
Ulrike Knöfel			5780645,16	1445161,29	1238709,68	619354,84	1445161,29	6400000,00	2477419,35	2477419,35	1445161,29	1651612,90	619354,84
Ulrike Knöfel Marianne Wellershoff								884821,64	461646,07	461646,07	269293,54	307764,05	115411,52
Ulrike Mau									1290609,14	1720812,18	1003807,11	1147208,12	430203,05
Ulrike Münter			7357572,12	1769596,06	1546639,33	773319,66	1804412,55	7990969,87	3093278,66	3093278,66	1804412,55	2062185,77	773319,66
Ulrike Schwalm	953261,96	158876,99	3574732,35	556069,48	476630,98	238315,49	556069,48	2462593,40	953261,96	953261,96	556069,48	635507,97	238315,49
Ulrike Von Goetz	2133724,03	426744,81	9601758,12	1493606,82	1280234,42	640117,21	1493606,82	6614544,49	2560468,83	2560468,83	1493606,82	1706979,22	640117,21
Ulrike Würzberg				38540,44	115621,31	57810,65	134891,53	597376,76	231242,62	231242,62	134891,53	154161,75	57810,65
"Unckrich, Bärbel; Wurm, Fabian"										870984,57	3048446,00	3483938,29	1306476,86
Urs Willmann					201696,98	201696,98	470626,29	2084202,14	806787,93	806787,93	470626,29	537858,62	201696,98
Ursula Herrndorf	3678571,71	613095,28	13794643,91	2145833,50	1839285,85	919642,93	2145833,50	9502976,91	3678571,71	3678571,71	2145833,50	2452381,14	919642,93
Uschka Pitroff									372070,22	446484,26	260449,15	297656,17	111621,07
Uta Baier	15626606,35	3676950,84	98375966,89	16623308,93	15144186,50	8798408,20	20529619,12	90916884,69	35193632,78	35193632,78	20529619,12	23462421,86	8798408,20
Uvg	139570,01	23261,67	523387,54	81415,84	69785,01	34892,50	81415,84	360555,86	139570,01	139570,01	81415,84	93046,67	34892,50
Uw			849031,90	204938,73	175661,77	87830,89	204938,73	907585,82	351323,54	351323,54	204938,73	234215,70	87830,89
Uwe Sauerwein								197543,07	338645,27	338645,27	197543,07	225763,51	84661,32
Uwe Wittstock.	1214946,28	202491,05	4556048,54	708718,66	607473,14	303736,57	708718,66	3138611,22	1214946,28	1214946,28	708718,66	809964,18	303736,57
Uwe Zucchi			375000,00	437500,00	375000,00	187500,00	437500,00	1937500,00	750000,00	750000,00	437500,00	500000,00	187500,00
Veit Loers								78271,78	134180,20	134180,20	78271,78	89453,47	33545,05
Veit Stiller	400277,97	66713,00	1501042,39	233495,48	200138,99	100069,49	233495,48	1034051,42	400277,97	400277,97	233495,48	266851,98	100069,49
Verena Richter	112985,25	18830,87	423694,68	65908,06	56492,62	28246,31	65908,06	291878,56	112985,25	112985,25	65908,06	75323,50	28246,31
Verena Schüller								2426545,66	1617697,11	1617697,11	943656,65	1078464,74	404424,28
Veronique Leheis										163018,87	190188,68	217358,49	81509,43
Vetter	2275271,27	568817,82	12798400,91	1990862,36	1706453,46	853226,73	1990862,36	8816676,19	3412906,91	3412906,91	1990862,36	2275271,27	853226,73
Vo				205566,10	246679,32	123339,66	287792,54	1274509,80	493358,63	493358,63	287792,54	328905,76	123339,66
Voigt Thomas	1486994,23	247832,37	5576228,36	867413,30	743497,11	371748,56	867413,30	3841401,76	1486994,23	1486994,23	867413,30	991329,49	371748,56
Volker Corsten	303106,59	50517,77	1136649,72	176812,18	151553,30	75776,65	176812,18	783025,36	303106,59	303106,59	176812,18	202071,06	75776,65
Volker Schmidt					65465,67	65465,67	152753,24	676478,64	261862,70	261862,70	152753,24	174575,13	65465,67
Von Agnieszka Bormann											651933,70	869244,94	325966,85
Von Albrecht Mueller	211124,52	60321,29	1357229,03	211124,52	180963,87	90481,94	211124,52	934980,00	361927,74	361927,74	211124,52	241285,16	90481,94
Von Albrecht Müller	190678,77	54479,65	1225792,11	190678,77	163438,95	81719,47	190678,77	844434,57	326877,90	326877,90	190678,77	217918,60	81719,47
Von Alexandra Kedves			3808240,89	1110736,93	952060,22	476030,11	1110736,93	4918977,81	1904120,44	1904120,44	1110736,93	1269413,63	476030,11
Von Alice Henkes, Basel									832616,61	1665233,21	971386,04	1110155,47	416308,30
Von Almuth Spiegler		451119,23	55304891,79	13318759,93	11416079,94	5708039,97	13318759,93	62866368,84	24558066,17	24558066,17	14325538,60	16521630,98	6363896,84
Von Almuth Spiegler Und Johanna Hofleitner			3383546,24	764026,57	654879,92	327439,96	764026,57	3383546,24	1309759,84	1309759,84	764026,57	873173,22	327439,96
Von Ananda Milz			430410,58	753218,51	645615,87	322807,93	753218,51	3335681,98	1291231,73	1291231,73	753218,51	860821,16	322807,93
Von Andreas Buchbauer			443518,13	443518,13	380158,40	190079,20	443518,13	1964151,73	760316,80	760316,80	443518,13	506877,87	190079,20
Von Angela Wilms-adrians			224741,19	314637,66	269689,42	134844,71	314637,66	1393395,36	539378,85	539378,85	314637,66	359585,90	134844,71
Von Anja Katzke									1274422,09	3321605,15	1937603,00	2214403,43	830401,29
Von Annette Bosetti											181872,57	363745,14	136404,43
Von Barbara Basting	69488,79	11581,47	7486397,72	2872071,23	2461775,34	1230887,67	2872071,23	12719172,57	4923550,67	4923550,67	2872071,23	3282367,12	1230887,67
Von Barbara Basting, Kassel			2997903,71	777234,30	666200,82	333100,41	777234,30	3442037,59	1332401,65	1332401,65	777234,30	888267,77	333100,41
Von Barbara Basting, Lyon			3200896,39	2489586,08	2133930,93	1066965,46	2489586,08	11025309,78	4267861,85	4267861,85	2489586,08	2845241,23	1066965,46
Von Barbara Basting, Venedig			4458904,11	867009,13	743150,68	371575,34	867009,13	3839611,87	1486301,37	1486301,37	867009,13	990867,58	371575,34
Von Berthold Seewald			8938404,38	2373698,02	2034598,31	1017299,15	2373698,02	10512091,25	4069196,61	4069196,61	2373698,02	2712797,74	1017299,15
Von Bertram Müller			1778741,83	3121463,65	3675744,81	1890130,71	4778994,20	30010931,48	12032130,21	12032130,21	7018742,62	8021420,14	3008032,55
Von Birgit Grimm											841285,79	2305764,20	864661,57
Von Burcu Dogramaci	143834,56	23972,43	539379,60	83903,49	71917,28	35958,64	83903,49	371572,61	143834,56	143834,56	83903,49	95889,71	35958,64
Von Chris Melzer			257828,81	451200,42	386743,22	193371,61	451200,42	5946543,72	2465645,19	2465645,19	1438293,03	1643763,46	616411,30
Von Chris Melzer, Dpa												184998,39	277497,59
Von Christian Huther											531330,92	1416882,44	531330,92
Von Christian Peiseler			347228,01	347228,01	297624,01	148812,01	347228,01	1537724,05	595248,02	595248,02	347228,01	396832,01	148812,01
Von Christina Zu Mecklenburg			2177422,68	704871,10	604175,23	302087,62	704871,10	3121572,03	1208350,46	1208350,46	704871,10	805566,98	302087,62
Von Christine Bödicker											522350,58	696467,44	261175,29
Von Christine Sieberhagen											378103,50	756207,00	283577,62
Von Christoph Driessen												976874,00	586124,40
Von Christoph Driessen (dpa)												963583,20	578149,92
Von Claudia Herstatt				270627,86	1623767,14	811883,57	1894395,00	8389463,56	3247534,28	3247534,28	1894395,00	2165022,85	811883,57
Von Claudia Schmid (text) Und Frank Höhne (illustration)								2791341,38	1762952,45	1762952,45	1028388,93	1175301,63	440738,11
Von Claus-peter Gries								2848806,37	1266136,16	1266136,16	738579,43	844090,78	316534,04
Von Cordula Hupfer			972864,77	1135008,90	972864,77	486432,38	1135008,90	5026467,97	1945729,54	1945729,54	1135008,90	1297153,02	486432,38
Von D. Schmidt-elmendorff			409548,78	358355,18	307161,58	153580,79	358355,18	1587001,52	614323,17	614323,17	358355,18	409548,78	153580,79
Von Daniel Di Falco, Bern								974624,93	974624,93	974624,93	568531,21	649749,95	243656,23
Von David Schnapp	51746,97	8624,50	194051,15	30185,73	25873,49	12936,74	30185,73	133679,68	51746,97	51746,97	30185,73	34497,98	12936,74
Von Dietrich Hennes			256847,07	359585,90	308216,49	154108,24	359585,90	1592451,84	616432,97	616432,97	359585,90	410955,31	154108,24
Von Dirk Richerdt								5605990,98	2512519,03	2512519,03	1465636,10	1675012,69	628129,76
Von Dirk Richerdt Und Inge Schnettler								3448028,67	1591397,85	1591397,85	928315,41	1060931,90	397849,46
Von Dominik Bardow			1743369,18	435842,29	373579,11	186789,55	435842,29	1930158,73	747158,22	747158,22	435842,29	498105,48	186789,55
Von Dorothea Hülsmeier											189352,08	421157,07	347707,48
Von Dorothea Hülsmeier, Dpa												695353,58	1043030,37
Von Dorothee Achenbach			403616,83	565063,56	484340,19	242170,10	565063,56	2502424,32	968680,38	968680,38	565063,56	645786,92	242170,10
Von Eva Müller-remmert			346255,38	346255,38	296790,33	148395,16	346255,38	1533416,70	593580,66	593580,66	346255,38	395720,44	148395,16
Von Feli Schindler	527531,38	263765,69	5934728,03	923179,92	791297,07	395648,54	923179,92	4088368,20	1582594,14	1582594,14	923179,92	1055062,76	395648,54
Von Frank Saltenberger												79521,95	79521,95
Von Gabriela Walde			2647888,73	1290353,16	2113855,74	1157711,74	2701327,40	11963021,36	4630846,98	4630846,98	2701327,40	3087231,32	1157711,74
Von Gerd Korinthenberg			2141273,21	333086,94	522550,65	498322,87	1162753,37	5149336,37	1993291,50	1993291,50	1162753,37	1328861,00	498322,87
Von Gerhard Charles Rump				1061381,07	1592071,61	796035,81	1857416,88	8225703,32	3184143,22	3184143,22	1857416,88	2122762,15	796035,81
Von Gesa Evers			135351,43	236865,00	203027,14	101513,57	236865,00	1048973,56	406054,28	406054,28	236865,00	270702,85	101513,57
Von Gudrun Anschütz							754950,50	3900577,56	1509900,99	1509900,99	880775,58	1006600,66	377475,25
Von Gunnar Luetzow					903322,14	541993,28	1264650,99	5600597,24	2167973,12	2167973,12	1264650,99	1445315,42	541993,28
Von Hans-joachim Müller						532383,63	1863342,72	8251946,33	3194301,81	3194301,81	1863342,72	2129534,54	798575,45
Von Heike Baare									532808,40	1598425,20	932414,70	1065616,80	399606,30
Von Helga Bittner								2293408,77	2410170,12	2410170,12	1405932,57	1606780,08	602542,53
Von Helga Seifert			438655,00	438655,00	375990,00	187995,00	438655,00	1942614,98	751979,99	751979,99	438655,00	501319,99	187995,00
Von Ines Eifler											864389,75	1152519,67	432194,88
Von Ingo Hoddick			400717,54	350627,85	300538,15	150269,08	350627,85	1552780,46	601076,31	601076,31	350627,85	400717,54	150269,08
Von Irmela Hennig												920608,31	345228,12
Von Irmgard Bernrieder					315260,51	236445,38	551705,90	2443268,98	945781,54	945781,54	551705,90	630521,03	236445,38
Von Isabel Klaas								405778,07	608667,10	608667,10	355055,81	405778,07	152166,78
Von Janet Krieger			267985,85	375180,19	321583,02	160791,51	375180,19	1661512,25	643166,03	643166,03	375180,19	428777,36	160791,51
Von Johanna Di Blasi			797405,32	1116367,45	956886,38	478443,19	1116367,45	4943912,99	1913772,77	1913772,77	1116367,45	1275848,51	478443,19
Von Johanna Schwanberg								2684243,57	2013182,67	2013182,67	1174356,56	1342121,78	503295,67
Von Jörg Von Uthmann			4910824,99	904625,66	775393,42	387696,71	904625,66	4006199,33	1550786,84	1550786,84	904625,66	1033857,89	387696,71
Von Julia Kilian, Dpa												136709,95	205064,92
Von Jürgen Karsten			481469,55	1123428,94	962939,09	481469,55	1123428,94	4975185,30	1925878,18	1925878,18	1123428,94	1283918,79	481469,55
Von Karin Großmann											1051230,54	1401640,72	525615,27
Von Karin Kura			1248623,51	257069,55	220345,33	110172,66	257069,55	1138450,85	440690,65	440690,65	257069,55	293793,77	110172,66
Von Karin Oehmigen (text), Adrian Sonderegger & Jojakim Cortis (foto)			6364394,16	2121464,72	1818398,33	909199,17	2121464,72	9395058,05	3636796,67	3636796,67	2121464,72	2424531,11	909199,17
Von Klaus Honnef			3928790,67	1375076,73	1178637,20	589318,60	1375076,73	6089625,54	2357274,40	2357274,40	1375076,73	1571516,27	589318,60
Von Klaus Sebastian			227362,08	318306,91	272834,49	136417,25	318306,91	1409644,87	545668,98	545668,98	318306,91	363779,32	136417,25
Von Konrad Tobler			1316889,11	341415,69	292642,02	146321,01	341415,69	1511983,79	585284,05	585284,05	341415,69	390189,36	146321,01
Von Konrad Tobler (text) Und Doris Fanconi (fotos), Kassel								4494017,44	2696410,46	2696410,46	1572906,10	1797606,98	674102,62
Von Koschka Hetzer-molden								2757715,04	4136572,55	4136572,55	2413000,66	2757715,04	1034143,14
Von Lena Niethammer							595297,03	3075701,32	1190594,06	1190594,06	694513,20	793729,37	297648,51
Von Lothar Schmidt			589044,69	824662,56	706853,62	353426,81	824662,56	3652077,05	1413707,25	1413707,25	824662,56	942471,50	353426,81
Von Manfred Roos			281090,29	393526,41	337308,35	168654,17	393526,41	1742759,80	674616,70	674616,70	393526,41	449744,46	168654,17
Von Manisha Jothady			1540222,15	336923,59	288791,65	144395,83	336923,59	1492090,21	577583,31	577583,31	336923,59	385055,54	144395,83
Von Manuel Brug			3279298,04	1530339,08	1311719,21	655859,61	1530339,08	6777215,94	2623438,43	2623438,43	1530339,08	1748958,95	655859,61
Von Marcel Romahn								1656314,70	1325051,76	1325051,76	772946,86	883367,84	331262,94
Von Marion Leske			7104011,89	1184001,98	1014858,84	507429,42	1184001,98	5243437,35	2029717,68	2029717,68	1184001,98	1353145,12	507429,42
Von Matthias Grass			1823616,37	2632046,75	2256040,07	1128020,04	2632046,75	14679537,84	8543187,88	8543187,88	4983526,27	5695458,59	2135796,97
Von Matthias Heine			2107632,49	737671,37	632289,75	316144,87	737671,37	3266830,37	1264579,50	1264579,50	737671,37	843053,00	316144,87
Von Michael Klatt			747587,90	970422,95	831791,10	415895,55	970422,95	4297587,34	1663582,20	1663582,20	970422,95	1109054,80	415895,55
Von Michael Tesch			129436,33	393934,38	361575,30	180787,65	421837,85	1868139,07	723150,61	723150,61	421837,85	482100,40	180787,65
Von Nada Weigelt, Dpa												121686,88	182530,31
Von Nicole Scheyerer			1030514,10	554892,21	475621,89	237810,95	554892,21	2457379,77	951243,78	951243,78	554892,21	634162,52	237810,95
Von Norbert Mayer								4610987,62	2305493,81	2305493,81	1344871,39	1536995,87	576373,45
Von Norbert Stirken			871365,31	1371532,63	1175599,39	587799,70	1371532,63	6073930,20	2351198,79	2351198,79	1371532,63	1567465,86	587799,70
Von Norbert Striken			277814,18	388939,85	333377,01	166688,51	388939,85	1722447,91	666754,03	666754,03	388939,85	444502,69	166688,51
Von Peter Dittmar			16156150,43	3629556,87	3111048,75	1555524,37	3629556,87	16073751,87	6222097,50	6222097,50	3629556,87	4148065,00	1555524,37
Von Peter Gottschlich									861001,84	1476003,15	861001,84	984002,10	369000,79
Von Peter Klucken			457134,92	1225635,87	1314031,07	657015,53	1533036,25	8056093,64	3678925,52	3678925,52	2146039,89	2452617,01	919731,38
Von Rainer Kasselt											1495228,53	1993638,04	747614,26
Von Reiner Thies Und Andreas Arnold			108559,50	189979,12	162839,25	81419,62	189979,12	841336,12	325678,50	325678,50	189979,12	217119,00	81419,62
Von Roland Groß			3754826,10	924629,26	792539,37	396269,68	924629,26	4094786,74	1585078,74	1585078,74	924629,26	1056719,16	396269,68
Von Sabine Glaubitz, Dpa												104303,04	156454,56
Von Sabine Komm, Dpa												121686,88	182530,31
Von Sandra Trauner, Dpa													172744,72
Von Sarah Dickmann			391556,56	913631,97	783113,12	391556,56	913631,97	4046084,43	1566226,23	1566226,23	913631,97	1044150,82	391556,56
Von Sibylle Peine			173277,66	303235,91	259916,49	129958,25	303235,91	1342901,88	519832,99	519832,99	303235,91	346555,32	129958,25
Von Silke Lode	119553,03	19925,50	448323,86	69739,27	59776,51	29888,26	69739,27	308845,33	119553,03	119553,03	69739,27	79702,02	29888,26
Von Sönke Möhl, Dpa												138856,10	208284,15
Von Stefan Kaufmann			423042,70	493549,82	423042,70	211521,35	493549,82	2185720,64	846085,41	846085,41	493549,82	564056,94	211521,35
Von Thomas Burla (bilder) Und Barbara Basting (text)			3450076,65	779049,57	667756,77	333878,39	779049,57	3450076,65	1335513,54	1335513,54	779049,57	890342,36	333878,39
Von Thomas Kliemann			25077777,12	5568519,76	4806468,78	2403234,39	5607546,91	24833422,04	9612937,56	9612937,56	5607546,91	6408625,04	2403234,39
Von Thomas Morgenroth												2775236,50	1040713,69
Von Thomas Sieber	3910012,36	651668,73	14662546,35	2280840,54	1955006,18	977503,09	2280840,54	10100865,27	3910012,36	3910012,36	2280840,54	2606674,91	977503,09
Von Tim Ackermann			3884310,62	1132923,93	971077,65	485538,83	1132923,93	5017234,55	1942155,31	1942155,31	1132923,93	1294770,21	485538,83
Von Timo Lindemann Und Takis Tsafos, Dpa												130056,87	195085,31
Von Timo Lindemann, Dpa												48073,83	72110,74
Von Ulla Pantel			419039,15	488879,00	419039,15	209519,57	488879,00	2165035,59	838078,29	838078,29	488879,00	558718,86	209519,57
Von Ulrich Wickert			6035714,29	1083333,33	928571,43	464285,71	1083333,33	4797619,05	1857142,86	1857142,86	1083333,33	1238095,24	464285,71
Von Uta Baier			22021640,36	6105323,44	5233134,38	2616567,19	6105323,44	27037860,95	10466268,75	10466268,75	6105323,44	6977512,50	2616567,19
Von Uwe Salzbrenner											384229,03	1154144,67	432804,25
Von Uwe Wittstock			5863353,81	1704195,91	1460739,35	730369,67	1704195,91	7547153,30	2921478,70	2921478,70	1704195,91	1947652,46	730369,67
Von Uwe-jens Ruhnau									237058,54	1422351,23	829704,89	948234,16	355587,81
Von Veit-mario Thiede	862259,41	431129,71	11876314,18	2460908,37	2109350,03	1054675,02	2460908,37	10898308,51	4218700,07	4218700,07	2460908,37	2812466,71	1054675,02
Von Yvonne Scheller			4135930,99	1930101,13	1654372,40	827186,20	1930101,13	8547590,72	3308744,79	3308744,79	1930101,13	2205829,86	827186,20
"Von; Andrea; Munkert"													249166,88
Vongehr Ulrike	1133765,96	188960,99	4251622,36	661363,48	566882,98	283441,49	661363,48	2928895,40	1133765,96	1133765,96	661363,48	755843,97	283441,49
"Vs; Dc; Tm"			2613496,93	1306748,47	1120070,11	560035,06	1306748,47	5787028,92	2240140,23	2240140,23	1306748,47	1493426,82	560035,06
W.j.	174212,87	29035,48	653298,25	101624,17	87106,43	43553,22	101624,17	450049,90	174212,87	174212,87	101624,17	116141,91	43553,22
Walther Becker								1873880,08	4497312,20	4497312,20	2623432,12	2998208,13	1124328,05
Wams							28300,55	292438,97	113202,18	113202,18	66034,61	75468,12	28300,55
Wdl	251727,04	41954,51	943976,41	146840,78	125863,52	62931,76	146840,78	650294,86	251727,04	251727,04	146840,78	167818,03	62931,76
Weber Reinhold	334519,57	55753,26	1254448,40	195136,42	167259,79	83629,89	195136,42	864175,56	334519,57	334519,57	195136,42	223013,05	83629,89
Wehnert Detlev	1614090,02	269015,00	6052837,57	941552,51	807045,01	403522,50	941552,51	4169732,55	1614090,02	1614090,02	941552,51	1076060,01	403522,50
Wehrl Monika	218547,21	36424,53	819552,02	127485,87	109273,60	54636,80	127485,87	564580,28	218547,21	218547,21	127485,87	145698,14	54636,80
Wellershoff, Marianne Knöfel, Ulrike												286141,12	286141,12
Welsch Wolfgang	737282,81	122880,47	2764810,55	430081,64	368641,41	184320,70	430081,64	1904647,27	737282,81	737282,81	430081,64	491521,88	184320,70
Wenke Husmann								3826742,00	2870056,50	2870056,50	1674199,62	1913371,00	717514,12
Werner Bloch									1690633,25	2535949,87	1479304,09	1690633,25	633987,47
Widmann			6522773,98	1462449,57	1253528,20	626764,10	1462449,57	6476562,39	2507056,41	2507056,41	1462449,57	1671370,94	626764,10
Wiebe Bökemeier	1897114,18	316185,70	7114178,17	1106649,94	948557,09	474278,54	1106649,94	4900878,29	1897114,18	1897114,18	1106649,94	1264742,79	474278,54
Wiglaf Droste	78103,85	13017,31	292889,46	45560,58	39051,93	19525,96	45560,58	201768,29	78103,85	78103,85	45560,58	52069,24	19525,96
Wilhelm Ditzel								75210,13	128931,65	128931,65	75210,13	85954,44	32232,91
Wilhelm Roth											1041883,00	1667012,81	625129,80
Wilhelm Trapp					56060,12	56060,12	130806,94	579287,86	224240,46	224240,46	130806,94	149493,64	56060,12
Wilhelm Werthern								855688,84	933478,74	933478,74	544529,26	622319,16	233369,68
Willmann					13287,22	13287,22	31003,51	137301,25	53148,87	53148,87	31003,51	35432,58	13287,22
Wolf Jahn	3723953,57	620658,93	13964825,88	2172306,25	1861976,78	930988,39	2715150,16	18206360,81	8013418,02	8013418,02	4674493,85	5342278,68	2003354,51
Wolf, Martin			4476319,88	803442,03	688664,60	344332,30	803442,03	3558100,41	1377329,19	1377329,19	803442,03	918219,46	344332,30
Wolfgang Höbel						382309,09	1338081,83	5925790,96	2293854,56	2293854,56	1338081,83	1529236,38	573463,64
Wolfgang Müller	106870,82	17811,80	8255211,16	1484349,57	1641808,29	820904,14	1915443,00	8482676,15	3283616,57	3283616,57	1915443,00	2189077,72	820904,14
Wolfgang Schreiber	171189,77	28531,63	641961,63	99860,70	85594,88	42797,44	99860,70	442240,24	171189,77	171189,77	99860,70	114126,51	42797,44
Wolfgang Ullrich											926712,53	1853425,07	695034,40
Ws.	847574,46	141262,41	3178404,24	494418,44	423787,23	211893,62	494418,44	2189567,36	847574,46	847574,46	494418,44	565049,64	211893,62
Wuensch Barbara	152815,57	25469,26	573058,40	89142,42	76407,79	38203,89	89142,42	394773,57	152815,57	152815,57	89142,42	101877,05	38203,89
Wüst, Christian			1348962,34	349730,98	299769,41	149884,70	349730,98	1548808,61	599538,82	599538,82	349730,98	399692,54	149884,70
Yves Rosset	85218,27	14203,04	319568,50	49710,65	42609,13	21304,57	49710,65	220147,19	85218,27	85218,27	49710,65	56812,18	21304,57
Yw					125314,33	375943,00	877200,34	3884744,34	1503772,00	1503772,00	877200,34	1002514,67	375943,00
Zc			654300,53	134708,93	115464,80	57732,40	134708,93	596568,13	230929,60	230929,60	134708,93	153953,07	57732,40
Ziegler Ulf			3212604,87	1124411,70	963781,46	481890,73	1124411,70	4979537,55	1927562,92	1927562,92	1124411,70	1285041,95	481890,73
Zitzmann	30543,71	5090,62	114538,91	17817,16	15271,86	7635,93	17817,16	78904,58	30543,71	30543,71	17817,16	20362,47	7635,93
Zollinger Peter	2589491,31	431581,89	9710592,42	1510536,60	1294745,66	647372,83	1510536,60	6689519,22	2589491,31	2589491,31	1510536,60	1726327,54	647372,83
Zwink, Holger			1526498,87	534274,61	457949,66	228974,83	534274,61	2366073,26	915899,32	915899,32	534274,61	610599,55	228974,83
