Autoren	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Rap	306716,42	51119,40	1150186,57	178917,91	153358,21	76679,10	178917,91	792350,75	306716,42	306716,42	178917,91	204477,61	76679,10
Rbiedermann	23027,72	3837,95	86353,94	13432,84	11513,86	5756,93	13432,84	59488,27	23027,72	23027,72	13432,84	15351,81	5756,93
Rbuhr	474307,04	79051,17	7746510,02	4252589,56	3995669,77	1997834,88	4661614,73	20644293,79	7991339,53	7991339,53	4661614,73	5327559,69	1997834,88
Rcampus01			325419,57	75931,23	65083,91	32541,96	75931,23	336266,88	130167,83	130167,83	75931,23	86778,55	32541,96
Rebekka Rülcker										165606,47	193207,55	220808,63	82803,23
Redaktion					20677,30	20677,30	48247,03	213665,43	82709,20	82709,20	48247,03	55139,47	20677,30
Reineke Wolfgang	178354,62	29725,77	668829,81	104040,19	89177,31	44588,65	104040,19	460749,42	178354,62	178354,62	104040,19	118903,08	44588,65
Reinhard Mohr								119537,52	204921,46	204921,46	119537,52	136614,31	51230,37
Reinhard Wengierek	416956,22	69492,70	1563585,82	243224,46	208478,11	104239,05	243224,46	1077136,90	416956,22	416956,22	243224,46	277970,81	104239,05
Renate Heitmann	324944,25	54157,37	1218540,94	189550,81	162472,12	81236,06	189550,81	839439,31	324944,25	324944,25	189550,81	216629,50	81236,06
René Lüchinger										4782952,96	2790055,89	3188635,31	1195738,24
Rfehlinger	76119,40	12686,57	285447,76	44402,99	38059,70	19029,85	44402,99	196641,79	76119,40	76119,40	44402,99	50746,27	19029,85
Rgeyer			44970,56	314793,94	269823,37	134911,69	314793,94	1394087,44	539646,75	539646,75	314793,94	359764,50	134911,69
Rgöpfert	226439,23	37739,87	849147,12	132089,55	113219,62	56609,81	132089,55	584968,02	226439,23	226439,23	132089,55	150959,49	56609,81
Rha	2599786,55	433297,76	9749199,57	1516542,16	1299893,28	649946,64	1516542,16	6716115,26	2599786,55	2599786,55	1516542,16	1733191,04	649946,64
Rhartwig				94058,22	564349,29	282174,65	658407,51	2915804,67	1128698,58	1128698,58	658407,51	752465,72	282174,65
Rhohmann	2655322,57	460298,72	10356721,24	1611045,53	1380896,17	690448,08	1611045,53	7134630,19	2761792,33	2761792,33	1611045,53	1841194,89	690448,08
Ricarda Albers	2108117,15	1054058,58	23716317,99	3689205,02	3162175,73	1581087,87	3689205,02	16337907,95	6324351,46	6324351,46	3689205,02	4216234,31	1581087,87
Ricarda Främcke	646379,31	107729,88	2423922,40	377054,60	323189,65	161594,83	377054,60	1669813,21	646379,31	646379,31	377054,60	430919,54	161594,83
Richard Rabensaat	90012,76	15002,13	337547,85	52507,44	45006,38	22503,19	52507,44	232532,96	90012,76	90012,76	52507,44	60008,51	22503,19
Richard Stradner	3416231,78	569371,96	12810869,17	1992801,87	1708115,89	854057,94	1992801,87	8825265,43	3416231,78	3416231,78	1992801,87	2277487,85	854057,94
Rippegather	106663,11	17777,19	399986,67	62220,15	53331,56	26665,78	62220,15	275546,38	106663,11	106663,11	62220,15	71108,74	26665,78
Rita Kunze										961627,37	841423,95	961627,37	360610,26
Rkappus			1707613,69	385590,19	330505,88	165252,94	385590,19	1707613,69	661011,75	661011,75	385590,19	440674,50	165252,94
Rlapp			507249,09	122439,44	104948,09	52474,04	122439,44	542231,78	209896,17	209896,17	122439,44	139930,78	52474,04
Rludwig	54051,17	9008,53	202691,90	31529,85	27025,59	13512,79	31529,85	139632,20	54051,17	54051,17	31529,85	36034,12	13512,79
Rmichalzik	1858458,56	412990,79	12182195,80	2635427,83	2258938,14	1129469,07	2635427,83	11671180,41	4517876,29	4517876,29	2635427,83	3011917,52	1129469,07
Rmunser	66684,43	11114,07	3064505,15	905149,68	775842,58	387921,29	905149,68	4008519,99	1551685,16	1551685,16	905149,68	1034456,77	387921,29
Rnutt			3281289,03	620784,41	532100,92	266050,46	620784,41	2749188,11	1064201,85	1064201,85	620784,41	709467,90	266050,46
Robin Alexander									5606032,47	8035880,12	4687596,74	5357253,41	2008970,03
Roger Anderegg	176432,54	29405,42	661622,02	102918,98	88216,27	44108,13	102918,98	455784,06	176432,54	176432,54	102918,98	117621,69	44108,13
Roger M. Buergel					63524,85	63524,85	148224,64	656423,40	254099,38	254099,38	148224,64	169399,59	63524,85
Rola							1145762,71	7103728,81	2749830,51	2749830,51	1604067,80	1833220,34	687457,63
Roland Kontny									95322,15	114386,58	66725,51	76257,72	28596,65
Roland Mischke										878900,79	512692,13	585933,86	219725,20
Roland Nelles													129840,80
Rolf-ruediger Hamacher										654017,38	915624,34	1046427,81	392410,43
Roman Gerold Aus Athen													163486,51
Roman Schmidseder Martin Reichert			16849925,71	2808320,95	2407132,24	1203566,12	2808320,95	12436849,93	4814264,49	4814264,49	2808320,95	3209509,66	1203566,12
Rosmanith, Lars	163113,01	27185,50	611673,77	95149,25	81556,50	40778,25	95149,25	421375,27	163113,01	163113,01	95149,25	108742,00	40778,25
Rpmüller			88378,57	154662,49	132567,85	66283,92	154662,49	684933,89	265135,70	265135,70	154662,49	176757,13	66283,92
Rpropsonhauck	77398,72	12899,79	290245,20	45149,25	38699,36	19349,68	45149,25	199946,70	77398,72	77398,72	45149,25	51599,15	19349,68
Rregvolo	2439473,68	406578,95	9148026,32	1423026,32	1219736,84	609868,42	1423026,32	6301973,68	2439473,68	2439473,68	1423026,32	1626315,79	609868,42
Rrippegather	23027,72	3837,95	86353,94	13432,84	11513,86	5756,93	13432,84	59488,27	23027,72	23027,72	13432,84	15351,81	5756,93
Rritz			863013,70	167808,22	143835,62	71917,81	167808,22	743150,68	287671,23	287671,23	167808,22	191780,82	71917,81
Rstarvolo			2407848,59	1360562,31	1166196,27	583098,13	1360562,31	6025347,39	2332392,54	2332392,54	1360562,31	1554928,36	583098,13
Rstaude				668094,22	572652,19	286326,09	668094,22	2958702,97	1145304,37	1145304,37	668094,22	763536,25	286326,09
Rthomas			746009,01	174068,77	149201,80	74600,90	174068,77	770875,97	298403,60	298403,60	174068,77	198935,73	74600,90
Rüdiger Kind			2292114,86	553269,10	474230,66	237115,33	553269,10	2450191,75	948461,32	948461,32	553269,10	632307,55	237115,33
Ruth Händler				1277493,61	1916240,41	958120,20	2235613,81	9900575,45	3832480,82	3832480,82	2235613,81	2554987,21	958120,20
Rvenn	21428,57	3571,43	2509592,46	692685,89	593730,76	296865,38	692685,89	3067608,94	1187461,52	1187461,52	692685,89	791641,02	296865,38
Rvolo			1209686,97	800694,24	686309,35	343154,67	800694,24	3545931,62	1372618,69	1372618,69	800694,24	915079,13	343154,67
Rwidmann			27710881,45	5901296,98	5058254,55	2529127,28	5901296,98	26134315,18	10116509,10	10116509,10	5901296,98	6744339,40	2529127,28
S. Danicke	82675,91	13779,32	310034,65	48227,61	41337,95	20668,98	48227,61	213579,42	82675,91	82675,91	48227,61	55117,27	20668,98
S.hohmann	103944,56	17324,09	389792,11	60634,33	51972,28	25986,14	60634,33	268523,45	103944,56	103944,56	60634,33	69296,38	25986,14
S.k.	350943,98	58490,66	1316039,92	204717,32	175471,99	87735,99	204717,32	906605,28	350943,98	350943,98	204717,32	233962,65	87735,99
Sabine Gundlach						97469,97	682289,77	3021568,98	1169639,61	1169639,61	682289,77	779759,74	292409,90
Sabine Komm	461429,67	76904,94	1730361,25	269167,31	230714,83	115357,42	269167,31	1192026,64	461429,67	461429,67	269167,31	307619,78	115357,42
Sabine Rohlf								1548195,90	884683,37	884683,37	516065,30	589788,92	221170,84
Sabine Vogel				319785,94	639571,88	319785,94	746167,20	5253542,72	3309647,98	3309647,98	1930627,99	2206431,99	827411,99
Sandra Danicke								3529346,31	3257858,14	3257858,14	1900417,25	2171905,42	814464,53
Sandra Ebert										177897,57	207547,17	237196,77	88948,79
Sandra Trauner								67223,22	115239,80	115239,80	67223,22	76826,53	203586,96
Sandra Trauner/dpa													160776,79
Sarah Elsing								213606,57	1281639,44	1281639,44	747623,00	854426,29	320409,86
Sarah J. Tschernigow								739685,53	2219056,58	2219056,58	1294449,67	1479371,05	554764,14
Sascha Lehnartz									143767,77	172521,33	100637,44	115014,22	43130,33
Sayah, Amber			2669624,76	692124,94	593249,95	296624,97	692124,94	3065124,73	1186499,90	1186499,90	692124,94	790999,93	296624,97
Schaefer-dieterle Susanne	753192,38	125532,06	2824471,43	439362,22	376596,19	188298,10	439362,22	1945746,98	753192,38	753192,38	439362,22	502128,25	188298,10
Schmidt	1618516,72	359670,38	8092583,62	1258846,34	1079011,15	539505,57	1258846,34	5574890,94	2158022,30	2158022,30	1258846,34	1438681,53	539505,57
Schmidtlüer	62366,74	10394,46	233875,27	36380,60	31183,37	15591,68	36380,60	161114,07	62366,74	62366,74	36380,60	41577,83	15591,68
Schulz, Matthias			13281119,25	5164879,71	4427039,75	2213519,87	5164879,71	22873038,70	8854079,50	8854079,50	5164879,71	5902719,67	2213519,87
Schweiz. Depeschenagentur										82838,17	64429,69	73633,93	27612,72
Sde	656107,83	109351,31	2460404,38	382729,57	328053,92	164026,96	382729,57	1694945,24	656107,83	656107,83	382729,57	437405,22	164026,96
Sebastian Blottner									93284,82	186569,63	108832,29	124379,76	46642,41
Sebastian Eckert										112271,54	261966,93	299390,77	112271,54
Sebastian Hammelehle	248728,66	41454,78	932732,49	145091,72	124364,33	62182,17	145091,72	642549,05	248728,66	248728,66	145091,72	165819,11	62182,17
Sebastian Klaus			1301504,07	1138816,06	976128,05	488064,03	1138816,06	5043328,27	1952256,11	1952256,11	1138816,06	1301504,07	488064,03
Sebastian Preuss	1897459,38	712907,43	34187245,83	7384228,03	6882966,74	3441483,37	8511052,40	51379608,49	20011264,30	20011264,30	11673237,51	13340842,87	5002816,07
Severin Weiland					864321,61	648241,21	1512562,81	6698492,46	2592964,82	2592964,82	1512562,81	1728643,22	648241,21
Siebenhaar, Klaus	134396,36	268792,71	6047835,99	940774,49	806378,13	403189,07	940774,49	4166287,02	1612756,26	1612756,26	940774,49	1075170,84	403189,07
Silke Müller	421491,42	70248,57	1580592,83	245870,00	210745,71	105372,86	245870,00	1088852,84	421491,42	421491,42	245870,00	280994,28	105372,86
Silvia Zöller									209508,72	2514104,60	1466561,01	1676069,73	628526,15
Simone Guski.	446463,89	74410,65	1674239,59	260437,27	223231,95	111615,97	260437,27	1153365,05	446463,89	446463,89	260437,27	297642,59	111615,97
Simone Meyer	355689,72	142275,89	3201207,51	497965,61	426827,67	213413,83	497965,61	2205276,28	853655,34	853655,34	497965,61	569103,56	213413,83
Simone Rafael	247543,60	41257,27	928288,49	144400,43	123771,80	61885,90	144400,43	639487,63	247543,60	247543,60	144400,43	165029,07	61885,90
Sjo	356866,05	59477,67	1338247,68	208171,86	178433,02	89216,51	208171,86	921903,96	356866,05	356866,05	208171,86	237910,70	89216,51
Sk	909357,34	151559,56	3410090,01	530458,45	454678,67	227339,33	530458,45	2349173,12	909357,34	909357,34	530458,45	606238,22	227339,33
Sko	31294,60	5215,77	117354,74	18255,18	15647,30	7823,65	18255,18	80844,38	31294,60	31294,60	18255,18	20863,07	7823,65
Soltek Stefan	954990,22	159165,04	3581213,31	557077,63	477495,11	238747,55	557077,63	2467058,06	954990,22	954990,22	557077,63	636660,14	238747,55
Sören Kittel									884966,17	1061959,40	619476,32	707972,93	265489,85
Stadie Iris	159933,01	26655,50	599748,80	93294,26	79966,51	39983,25	93294,26	413160,28	159933,01	159933,01	93294,26	106622,01	39983,25
Stefan Ehlert			90316,92	632218,46	541901,54	270950,77	632218,46	2799824,63	1083803,08	1083803,08	632218,46	722535,39	270950,77
Stefan Kirschner			305639,02	79239,75	67919,78	33959,89	79239,75	350918,87	377675,40	426042,56	248524,83	284028,38	106510,64
